Date,Time,GPSLongitude,GPSLatitude,Datetime
2023-08-06,20:54:47,-82.3861271,29.6272276,8/6/2023 20:54:47
2023-08-06,20:55:52,-82.386247,29.6270386,8/6/2023 20:55:52
2023-08-06,20:56:57,-82.3857449,29.6215199,8/6/2023 20:56:57
2023-08-06,20:58:02,-82.3837785,29.6190531,8/6/2023 20:58:02
2023-08-06,20:59:07,-82.3831811,29.6149504,8/6/2023 20:59:07
2023-08-06,21:00:12,-82.3775051,29.6076257,8/6/2023 21:00:12
2023-08-06,21:01:22,-82.371373,29.6068042,8/6/2023 21:01:22
2023-08-06,21:02:32,-82.3710402,29.6040885,8/6/2023 21:02:32
2023-08-06,21:03:37,-82.3689562,29.6051433,8/6/2023 21:03:37
2023-08-06,21:04:47,-82.3550681,29.6135432,8/6/2023 21:04:47
2023-08-06,21:05:52,-82.3410543,29.6148088,8/6/2023 21:05:52
2023-08-06,21:06:57,-82.3408284,29.6148666,8/6/2023 21:06:57
2023-08-06,21:07:28,-82.3398875,29.6205456,8/6/2023 21:07:28
2023-08-06,21:08:37,-82.3407503,29.6255709,8/6/2023 21:08:37
2023-08-06,21:08:47,-82.3411813,29.626084,8/6/2023 21:08:47
2023-08-06,21:08:49,-82.3411655,29.6259829,8/6/2023 21:08:49
2023-08-06,21:09:37,-82.3410541,29.6259123,8/6/2023 21:09:37
2023-08-06,21:12:42,-82.3411525,29.6260049,8/6/2023 21:12:42
8/6/2023,9:31:57 PM,-82.34115556,29.62600556,8/6/2023 21:31:57
2023-08-07,1:54:11,-82.3411525,29.6260049,8/7/2023 1:54:11
2023-08-07,2:00:09,-82.3411525,29.6260049,8/7/2023 2:00:09
2023-08-07,2:38:23,-82.3411525,29.6260049,8/7/2023 2:38:23
2023-08-07,2:43:56,-82.3411525,29.6260049,8/7/2023 2:43:56
2023-08-07,2:49:04,-82.3411525,29.6260049,8/7/2023 2:49:04
2023-08-07,2:54:09,-82.3411525,29.6260049,8/7/2023 2:54:09
2023-08-07,4:23:40,-82.3411553,29.626001,8/7/2023 4:23:40
2023-08-07,12:16:29,-82.3411553,29.626001,8/7/2023 12:16:29
2023-08-07,13:17:49,-82.3410852,29.6258734,8/7/2023 13:17:49
2023-08-07,13:20:16,-82.3411655,29.6259829,8/7/2023 13:20:16
2023-08-07,13:21:56,-82.3397255,29.6241477,8/7/2023 13:21:56
2023-08-07,13:24:00,-82.3396728,29.6240495,8/7/2023 13:24:00
2023-08-07,13:25:58,-82.3406137,29.6149385,8/7/2023 13:25:58
2023-08-07,13:27:30,-82.3412329,29.6150913,8/7/2023 13:27:30
2023-08-07,13:30:40,-82.3411629,29.6150655,8/7/2023 13:30:40
2023-08-07,13:33:49,-82.3409127,29.6142276,8/7/2023 13:33:49
2023-08-07,13:35:34,-82.3370866,29.6163604,8/7/2023 13:35:34
2023-08-07,13:40:19,-82.3410758,29.6260593,8/7/2023 13:40:19
2023-08-07,13:40:20,-82.341161,29.6259884,8/7/2023 13:40:20
2023-08-07,13:44:53,-82.3409675,29.6259732,8/7/2023 13:44:53
