Lat,Long,Time
29.626015256208014,-82.34115909941143,1740617534.640565
29.61505249728999,-82.34092972232457,1740665404.2305942
29.604390334284975,-82.3751096354731,1740665705.092566
29.67230097707784,-82.43038030108201,1740666017.348871
29.68213776283485,-82.4372217845696,1740666401.374551
29.682576251243876,-82.43116180420148,1740666703.20612
29.67939591581062,-82.43484344364644,1740681795.254722
29.68253938233738,-82.43106634536164,1740686471.5810518
29.68263992640207,-82.43750369180862,1740696371.625578
29.67815475541137,-82.43632832549739,1740696693.095355
29.6045970944939,-82.3762048854866,1740697030.7464461
29.615005098386735,-82.34077920491295,1740697354.508829
29.626068853297426,-82.34130356329251,1740697656.5248241
29.626085038711363,-82.34129985052839,1740697800.2385712
29.64342268952394,-82.33828257217948,1740710262.952275
29.62601527259609,-82.34115932948144,1740710589.489972
29.63517932198481,-82.3415087960683,1740729434.7091088
29.62601527259609,-82.34115932948144,1740729735.1789432
29.630275562615413,-82.33928700916687,1740781866.620574
29.643456634119918,-82.33925829557822,1740782166.1294389
29.645837384957126,-82.34395525916194,1740782466.0929232
29.641727517578794,-82.33936407848714,1740786068.52249
29.626280981388398,-82.34110701829985,1740786372.615305
29.626030308770893,-82.34117501417285,1740788669.698145
29.626030308770893,-82.34117501417285,1740817975.056631
29.626030308770893,-82.34117501417285,1740866776.373148
29.621501910735205,-82.33984241618299,1740873043.144432
29.637262219165525,-82.3160774944227,1740873413.8991861
29.661876878010837,-82.30504913811309,1740873717.901623
29.691541783964013,-82.28645062912689,1740874112.941081
29.685676423860468,-82.27868526250336,1740874413.115751
29.67924697101306,-82.27945145677083,1740874840.782871
29.66798805168799,-82.30089655153667,1740875142.029364
29.635707113469316,-82.31688836186699,1740875462.290967
29.625549470102065,-82.34066214420119,1740875763.0883121
29.626030308770893,-82.34117501417285,1740876380.020318
29.61648367999999,-82.34429930999997,1741095766.554521
29.626019572721432,-82.34115742791504,1741096119.160574
29.618901239074965,-82.3397537078627,1741107973.722614
29.605186516446626,-82.37606470480782,1741108275.0991678
29.670354197174692,-82.42874133865604,1741108577.627795
29.682769658408056,-82.4322658508211,1741108936.6751351
29.6885224571728,-82.43026955060887,1741135034.253304
29.670018525152003,-82.42853120448773,1741135342.642246
29.630255027031293,-82.36270799847404,1741135866.833715
29.625244716410872,-82.34073131259309,1741136205.751418
29.626041675360142,-82.34115566939799,1741137934.651325
29.626041675360142,-82.34115566939799,1741145164.2598639
29.626041675360142,-82.34115566939799,1741191489.078799
29.61878615307901,-82.33977674397647,1741193973.523656
29.604102844333433,-82.37128765303125,1741194279.6479769
29.66861474318201,-82.43332031053657,1741194600.682724
29.68193374906388,-82.43067561752045,1741195143.6272922
29.683170403713678,-82.43564759990294,1741218063.131895
29.666491295238647,-82.42501284003484,1741218386.25156
29.604088851624468,-82.37542523878773,1741218687.137785
29.618100978689185,-82.34004626659215,1741218996.673228
29.626019572721432,-82.34115742791504,1741219341.414762
29.62590501020394,-82.34125463582563,1741219587.483386
29.63643261987396,-82.33910289980619,1741223301.104875
29.626019572721432,-82.34115742791504,1741223704.148797
29.624775351076615,-82.35798749406757,1741243667.958224
29.626019572721432,-82.34115742791504,1741243971.389467
29.637981310713897,-82.34044527955315,1741249142.266902
29.626019572721432,-82.34115742791504,1741249445.0454879
29.64371573969655,-82.33817618191561,1741264154.985553
29.626019572721432,-82.34115742791504,1741264646.256178
29.62147196757572,-82.3398775142453,1741281371.116384
29.604011655866845,-82.37243004297153,1741281704.7234101
29.674299137751287,-82.43395491350238,1741282037.418744
29.682892051580527,-82.43382141775062,1741282388.520695
29.678080033163436,-82.43472670844443,1741282715.9565048
29.68232814691,-82.43245831698405,1741295359.5647159
29.67823932028867,-82.4346834834925,1741302854.312576
29.681225485684273,-82.43016092560164,1741304443.9072762
29.685884781492472,-82.44356425720426,1741304829.7887092
29.604704411639165,-82.37637040556186,1741305177.935009
29.62406158,-82.33917999,1741305580.3627172
29.629148479999994,-82.33925627999997,1741306453.16215
29.64315147019381,-82.33852048000466,1741319242.203598
29.626019572721432,-82.34115742791504,1741319562.8758879
29.626098971842108,-82.34128735809166,1741322833.0988889
29.626019572721432,-82.34115742791504,1741326802.865069
29.626057522212218,-82.34116810104881,1741366909.0258021
29.62605564460391,-82.3411638060137,1741383264.115747
29.626055875792385,-82.34116209736368,1741395171.0707378
29.626055586531123,-82.34116080430101,1741409472.3007941
29.626048698481735,-82.34115272744754,1741446191.183933
29.62601483329102,-82.34126508212387,1741446341.95979
29.62604903836652,-82.34115290766866,1741448855.594921
29.626024366605943,-82.34115945513418,1741468418.072828
29.626023746681184,-82.3412576599115,1741468552.838768
29.62604903836652,-82.34115290766866,1741468637.234648
29.62598770428918,-82.34124490744423,1741482474.117789
29.62603660617869,-82.3411461849759,1741541333.329939
29.616979904536002,-82.34046947991224,1741542930.104701
29.61119139569775,-82.38118680201693,1741543230.097852
29.684102824918458,-82.43909895016988,1741543727.1263928
29.6824474207171,-82.43120734832843,1741544033.441416
29.682589836697975,-82.43766606605548,1741560890.796848
29.665503532183163,-82.42480351946996,1741561192.396463
29.603633439839538,-82.37118922525214,1741561499.849221
29.625139978715012,-82.3408525582214,1741561812.385581
29.626040237928372,-82.34113856344817,1741561951.381407
29.639087758546356,-82.33917685939588,1741623133.0323071
29.625012000775094,-82.34099674617218,1741623738.5911741
29.614616072194018,-82.3432113156868,1741624260.048846
29.61319435725766,-82.38291055488446,1741624560.1087952
29.679760644240005,-82.43721789688098,1741624873.236723
29.682793754267227,-82.43227880490427,1741625201.937321
29.682337134303143,-82.43068090705961,1741641257.250782
29.674308938866556,-82.43479061605129,1741641642.805728
